latitude,longitude,bright_ti4,acq_date,instrument
-35.70046,137.0843,338.8,43819,VIIRS
-35.69094,136.89978,317.8,43819,VIIRS
-35.70104,137.09561,344.7,43819,VIIRS
-35.69393,136.95712,318.3,43819,VIIRS
-35.69609,136.99892,318.4,43819,VIIRS
-35.69308,136.94084,301.5,43819,VIIRS
-35.6925,136.9297,309.8,43819,VIIRS
-35.69452,136.96846,314.5,43819,VIIRS
-35.6953,136.98363,315.5,43819,VIIRS
-35.69504,136.97855,307.8,43819,VIIRS
-35.69479,136.97362,310.1,43819,VIIRS
-35.68099,137.0182,367,43819,VIIRS
-35.69738,136.90851,331,43819,VIIRS
-35.69765,136.91359,317.9,43819,VIIRS
-35.6971,136.90323,367,43819,VIIRS
-35.69741,137.02452,308.2,43819,VIIRS
-35.69688,137.01428,305.6,43819,VIIRS
-35.69715,137.01945,309.8,43819,VIIRS
-35.70048,136.96756,321.8,43819,VIIRS
-35.70703,137.09451,322.4,43819,VIIRS
-35.70018,136.96198,351.3,43819,VIIRS
-35.69846,136.92909,335.6,43819,VIIRS
-35.69875,136.93457,367,43819,VIIRS
-35.70127,136.9828,325.6,43819,VIIRS
-35.70314,137.01881,336.5,43819,VIIRS
-35.7018,136.99304,324.6,43819,VIIRS
-35.70153,136.98793,367,43819,VIIRS
-35.68078,137.01334,347.1,43819,VIIRS
-35.6979,136.91843,302.9,43819,VIIRS
-35.70287,137.01363,296,43819,VIIRS
-35.70207,136.99818,308.9,43819,VIIRS
-35.69904,136.94003,312.5,43819,VIIRS
-35.69817,136.92354,298.5,43819,VIIRS
-35.70101,136.97775,310.6,43819,VIIRS
-35.70075,136.97285,311.8,43819,VIIRS
-35.67437,137.00479,306.7,43819,VIIRS
-35.68054,137.0081,331.5,43819,VIIRS
-35.67413,136.99916,312.1,43819,VIIRS
