latitude,longitude,brightness,acq_date,instrument
-35.825,136.817,371,43833,MODIS
-35.849,136.663,386.3,43833,MODIS
-35.838,136.796,410.3,43833,MODIS
-35.834,136.696,352.2,43833,MODIS
-35.84,136.661,354,43833,MODIS
-35.831,136.659,354.3,43833,MODIS
-35.864,136.691,433.2,43833,MODIS
-35.949,136.621,375,43833,MODIS
-35.891,136.803,448.2,43833,MODIS
-35.868,136.729,409.3,43833,MODIS
-35.993,136.798,446.2,43833,MODIS
-36.078,136.727,343.4,43833,MODIS
-36.062,136.729,370.9,43833,MODIS
-35.988,136.71,410,43833,MODIS
-35.935,136.827,503,43833,MODIS
-35.938,136.754,504.9,43833,MODIS
-35.846,136.626,377.8,43833,MODIS
-35.801,136.725,346.6,43833,MODIS
-35.805,136.701,390.8,43833,MODIS
-35.986,136.722,411.1,43833,MODIS
-35.929,136.629,370.4,43833,MODIS
-35.988,136.772,505.1,43833,MODIS
-35.984,136.795,451,43833,MODIS
-35.982,136.807,475.5,43833,MODIS
-35.999,136.762,506.3,43833,MODIS
-35.768,136.662,345.4,43833,MODIS
-35.758,136.66,386.1,43833,MODIS
-35.991,136.81,447.1,43833,MODIS
-35.934,136.716,380.5,43833,MODIS
-35.975,136.763,480,43833,MODIS
-35.936,136.704,368.8,43833,MODIS
-35.966,136.699,386.5,43833,MODIS
-35.98,136.727,388,43833,MODIS
-35.777,136.664,351.6,43833,MODIS
-35.969,136.737,449.8,43833,MODIS
-35.967,136.749,504.7,43833,MODIS
-35.949,136.806,426.3,43833,MODIS
-35.947,136.818,505.3,43833,MODIS
-35.958,136.746,494.5,43833,MODIS
-35.964,136.711,389.1,43833,MODIS
-35.921,136.799,336.4,43833,MODIS
-35.962,136.723,432.8,43833,MODIS
-35.939,136.803,394.4,43833,MODIS
-35.987,136.895,337.6,43833,MODIS
-36.006,136.776,506.6,43833,MODIS
-36.014,136.729,505.5,43833,MODIS
-36.012,136.741,506.2,43833,MODIS
-35.95,136.856,350,43833,MODIS
-35.958,136.685,377.2,43833,MODIS
-35.953,136.72,438.3,43833,MODIS
-35.956,136.697,384.5,43833,MODIS
-35.943,136.718,414.7,43833,MODIS
-35.941,136.73,420.5,43833,MODIS
-35.906,136.832,353.9,43833,MODIS
-36.019,136.816,367.1,43833,MODIS
-35.923,136.725,379.6,43833,MODIS
-35.932,136.666,369.2,43833,MODIS
-35.934,136.654,362,43833,MODIS
-35.9,136.806,502.5,43833,MODIS
-35.898,136.818,467.9,43833,MODIS
-35.931,136.617,443.8,43833,MODIS
-35.917,136.699,386.4,43833,MODIS
-35.893,136.792,385.3,43833,MODIS
-35.88,136.813,464.3,43833,MODIS
-35.912,136.673,387.8,43833,MODIS
-35.908,136.697,370.6,43833,MODIS
-35.91,136.685,362,43833,MODIS
-35.909,136.808,506.2,43833,MODIS
-35.878,136.825,347.2,43833,MODIS
-35.893,136.73,376.9,43833,MODIS
-35.891,136.742,423,43833,MODIS
-35.883,136.789,382.5,43833,MODIS
-35.889,136.754,403,43833,MODIS
-35.884,136.746,404.6,43833,MODIS
-35.877,136.793,407.4,43833,MODIS
-35.908,136.636,346.7,43833,MODIS
-35.91,136.624,380,43833,MODIS
-35.912,136.612,368,43833,MODIS
-35.881,136.77,361.9,43833,MODIS
-35.888,136.722,371,43833,MODIS
-35.873,136.755,483,43833,MODIS
-35.877,136.67,380.5,43833,MODIS
-35.875,136.743,408.3,43833,MODIS
-35.905,136.616,376,43833,MODIS
-35.864,136.815,408.2,43833,MODIS
-35.866,136.803,433.3,43833,MODIS
-35.851,136.774,375.7,43833,MODIS
